Perfume Name,Perfume Brand,Year,Perfumers,Main Accords,Top Notes,Middle Notes,Base Notes,Seasonal Preferences
Angels' Share,By Kilian,2020,Benoist Lapouza,"{'woody': '100', 'warm spicy': '97.3266', 'sweet': '88.0098', 'vanilla': '80.121', 'cinnamon': '76.0872', 'amber': '50.9988', 'powdery': '47.7606'}","['Cognac', 'Cinnamon', 'Tonka Bean', 'Tonka Bean', 'Oak', 'Praline', 'Vanilla', 'Vanilla', 'Sandalwood']","['Cinnamon', 'Tonka Bean', 'Tonka Bean', 'Oak', 'Praline', 'Vanilla', 'Vanilla', 'Sandalwood']","['Praline', 'Vanilla', 'Vanilla', 'Sandalwood']","{'winter': '100%', 'spring': '21.1902%', 'summer': '11.4757%', 'fall': '90.8788%', 'day': '36.9485%', 'night': '82.1283%'}"
Khamrah,Lattafa Perfumes,2022,Unlisted,"{'sweet': '100', 'warm spicy': '79.0476', 'amber': '77.5013', 'vanilla': '76.9887', 'cinnamon': '63.4608', 'woody': '47.9528', 'fresh spicy': '47.8289', 'fruity': '44.5898'}","['Cinnamon', 'Nutmeg', 'Nutmeg', 'Bergamot', 'Dates', 'Praline', 'Praline', 'Tuberose', 'Mahonial', 'Vanilla', 'Tonka Bean', 'Tonka Bean', 'Amberwood', 'Myrrh', 'Benzoin', 'Akigalawood']","['Dates', 'Praline', 'Praline', 'Tuberose', 'Mahonial', 'Vanilla', 'Tonka Bean', 'Tonka Bean', 'Amberwood', 'Myrrh', 'Benzoin', 'Akigalawood']","['Vanilla', 'Tonka Bean', 'Tonka Bean', 'Amberwood', 'Myrrh', 'Benzoin', 'Akigalawood']","{'winter': '100%', 'spring': '25.5563%', 'summer': '11.6311%', 'fall': '87.6118%', 'day': '41.4774%', 'night': '83.7119%'}"
Le Male Le Parfum,Jean Paul Gaultier,2020,"Natalie Gracia-Cetto, Quentin Bisch","{'warm spicy': '100', 'vanilla': '78.8764', 'aromatic': '62.9447', 'powdery': '62.6263', 'lavender': '62.4338', 'iris': '59.9389', 'amber': '57.0519', 'woody': '56.2322', 'violet': '44.9695'}","['Cardamom', 'Lavender', 'Iris', 'Iris', 'Vanilla', 'Oriental notes', 'Oriental notes', 'Woodsy Notes']","['Lavender', 'Iris', 'Iris', 'Vanilla', 'Oriental notes', 'Oriental notes', 'Woodsy Notes']","['Vanilla', 'Oriental notes', 'Oriental notes', 'Woodsy Notes']","{'winter': '100%', 'spring': '48.7665%', 'summer': '17.0956%', 'fall': '89.1586%', 'day': '43.2458%', 'night': '90.9855%'}"
Baccarat Rouge 540,Maison Francis Kurkdjian,2015,Francis Kurkdjian,"{'woody': '100', 'amber': '92.0224', 'warm spicy': '69.08', 'fresh spicy': '46.9218', 'aromatic': '46.491', 'metallic': '46.1951', 'white floral': '45.168', 'animalic': '44.875'}","['Saffron', 'Jasmine', 'Jasmine', 'Amberwood', 'Ambergris', 'Ambergris', 'Fir Resin', 'Cedar', 'Cedar']","['Amberwood', 'Ambergris', 'Ambergris', 'Fir Resin', 'Cedar', 'Cedar']","['Fir Resin', 'Cedar', 'Cedar']","{'winter': '97.3149%', 'spring': '64.9984%', 'summer': '42.5802%', 'fall': '100%', 'day': '76.7874%', 'night': '93.9148%'}"
Tobacco Vanille,Tom Ford,2007,Olivier Gillotin,"{'vanilla': '100', 'sweet': '94.7126', 'tobacco': '85.3926', 'warm spicy': '69.9497', 'fruity': '61.0551', 'woody': '53.172', 'cacao': '52.8682', 'powdery': '49.598'}","['Tobacco Leaf', 'Spicy Notes', 'Spicy Notes', 'Vanilla', 'Cacao', 'Cacao', 'Tonka Bean', 'Tobacco Blossom', 'Dried Fruits', 'Woody Notes', 'Woody Notes']","['Vanilla', 'Cacao', 'Cacao', 'Tonka Bean', 'Tobacco Blossom', 'Dried Fruits', 'Woody Notes', 'Woody Notes']","['Dried Fruits', 'Woody Notes', 'Woody Notes']","{'winter': '100%', 'spring': '18.8396%', 'summer': '11.6261%', 'fall': '82.8721%', 'day': '40.0689%', 'night': '87.5292%'}"
Dior Homme Intense 2011,Dior,2011,François Demachy,"{'iris': '100', 'woody': '79.6392', 'powdery': '76.816', 'earthy': '67.9078', 'violet': '65', 'aromatic': '64.2746', 'floral': '63.6276', 'musky': '61.3465', 'lavender': '61.1773', 'fruity': '45.5338'}","['Lavender', 'Iris', 'Ambrette (Musk Mallow)', 'Ambrette (Musk Mallow)', 'Pear', 'Virginia Cedar', 'Vetiver', 'Vetiver']","['Iris', 'Ambrette (Musk Mallow)', 'Ambrette (Musk Mallow)', 'Pear', 'Virginia Cedar', 'Vetiver', 'Vetiver']","['Virginia Cedar', 'Vetiver', 'Vetiver']","{'winter': '100%', 'spring': '37.9524%', 'summer': '15.1088%', 'fall': '87.6198%', 'day': '40.1736%', 'night': '93.4265%'}"
By the Fireplace,Maison Martin Margiela,2015,Marie Salamagne,"{'woody': '100', 'vanilla': '78.0127', 'balsamic': '75.9048', 'warm spicy': '68.7174', 'amber': '62.8496', 'powdery': '58.2029', 'nutty': '52.6346', 'musky': '45.9108', 'soft spicy': '44.7555', 'aromatic': '44.3169'}","['Cloves', 'Pink Pepper', 'Pink Pepper', 'Orange Blossom', 'Chestnut', 'Guaiac Wood', 'Guaiac Wood', 'Juniper', 'Vanilla', 'Peru Balsam', 'Peru Balsam', 'Cashmeran']","['Chestnut', 'Guaiac Wood', 'Guaiac Wood', 'Juniper', 'Vanilla', 'Peru Balsam', 'Peru Balsam', 'Cashmeran']","['Vanilla', 'Peru Balsam', 'Peru Balsam', 'Cashmeran']","{'winter': '100%', 'spring': '10.5559%', 'summer': '6.35553%', 'fall': '90.8854%', 'day': '38.9705%', 'night': '79.6706%'}"
XJ 1861 Naxos,Xerjoff,1861,Unlisted,"{'sweet': '100', 'vanilla': '86.8335', 'honey': '83.9532', 'tobacco': '73.0247', 'lavender': '70.3692', 'citrus': '66.9731', 'aromatic': '66.5838', 'floral': '56.0255', 'warm spicy': '54.7679', 'powdery': '54.0747'}","['Lavender', 'Bergamot', 'Bergamot', 'Lemon', 'Honey', 'Cinnamon', 'Cinnamon', 'Cashmeran', 'Jasmine Sambac', 'Tobacco Leaf', 'Vanilla', 'Vanilla', 'Tonka Bean']","['Honey', 'Cinnamon', 'Cinnamon', 'Cashmeran', 'Jasmine Sambac', 'Tobacco Leaf', 'Vanilla', 'Vanilla', 'Tonka Bean']","['Tobacco Leaf', 'Vanilla', 'Vanilla', 'Tonka Bean']","{'winter': '99.9301%', 'spring': '73.206%', 'summer': '35.6011%', 'fall': '100%', 'day': '79.8229%', 'night': '89.6552%'}"
Y Eau de Parfum,Yves Saint Laurent,2018,Dominique Ropion,"{'aromatic': '100', 'woody': '79.4005', 'fresh spicy': '74.5706', 'warm spicy': '69.2964', 'amber': '68.9432', 'fruity': '65.8312', 'fresh': '60.407', 'herbal': '58.5511', 'citrus': '58.2903', 'green': '53.7788'}","['Apple', 'Ginger', 'Ginger', 'Bergamot', 'Sage', 'Juniper Berries', 'Juniper Berries', 'Geranium', 'Amberwood', 'Tonka Bean', 'Tonka Bean', 'Cedar', 'Vetiver', 'Olibanum']","['Sage', 'Juniper Berries', 'Juniper Berries', 'Geranium', 'Amberwood', 'Tonka Bean', 'Tonka Bean', 'Cedar', 'Vetiver', 'Olibanum']","['Amberwood', 'Tonka Bean', 'Tonka Bean', 'Cedar', 'Vetiver', 'Olibanum']","{'winter': '57.1108%', 'spring': '100%', 'summer': '91.2635%', 'fall': '87.087%', 'day': '96.2728%', 'night': '82.4742%'}"
Le Male Elixir,Jean Paul Gaultier,2023,Quentin Bisch,"{'vanilla': '100', 'sweet': '79.5854', 'honey': '67.8503', 'amber': '61.5759', 'aromatic': '60.0175', 'lavender': '54.3323', 'tobacco': '49.5373', 'green': '47.5223', 'fresh spicy': '46.0608', 'powdery': '45.3671'}","['Lavender', 'Mint', 'Mint', 'Vanilla', 'Benzoin', 'Benzoin', 'Honey', 'Tonka Bean', 'Tonka Bean', 'Tobacco']","['Vanilla', 'Benzoin', 'Benzoin', 'Honey', 'Tonka Bean', 'Tonka Bean', 'Tobacco']","['Honey', 'Tonka Bean', 'Tonka Bean', 'Tobacco']","{'winter': '100%', 'spring': '35.4237%', 'summer': '11.8873%', 'fall': '82.8141%', 'day': '41.6154%', 'night': '84.4414%'}"
