Rank,Perfume Name,Perfume Brand,Link,Year,Perfumers,Rating,Votes,Main Accords,Top Notes,Middle Notes,Base Notes
1,Angels' Share,By Kilian,https://www.fragrantica.com/perfume/By-Kilian/Angels-Share-62615.html,2020,Dominique Ropion,4.38,"9,994","{'woody': '100', 'warm spicy': '97.3205', 'sweet': '88.0924', 'vanilla': '80.0417', 'cinnamon': '76.0806', 'amber': '51.0016', 'powdery': '47.7273'}","['Cognac', 'Cinnamon', 'Tonka Bean', 'Tonka Bean', 'Oak', 'Praline', 'Vanilla', 'Vanilla', 'Sandalwood']","['Cinnamon', 'Tonka Bean', 'Tonka Bean', 'Oak', 'Praline', 'Vanilla', 'Vanilla', 'Sandalwood']","['Praline', 'Vanilla', 'Vanilla', 'Sandalwood']"
2,Khamrah,Lattafa Perfumes,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Khamrah-75805.html,2022,Dominique Ropion,4.40,"6,258","{'sweet': '100', 'warm spicy': '78.6876', 'amber': '76.9574', 'vanilla': '76.5954', 'cinnamon': '63.4066', 'woody': '47.7779', 'fresh spicy': '47.6867', 'fruity': '44.6225'}","['Cinnamon', 'Nutmeg', 'Nutmeg', 'Bergamot', 'Dates', 'Praline', 'Praline', 'Tuberose', 'Mahonial', 'Vanilla', 'Tonka Bean', 'Tonka Bean', 'Amberwood', 'Myrrh', 'Benzoin', 'Akigalawood']","['Dates', 'Praline', 'Praline', 'Tuberose', 'Mahonial', 'Vanilla', 'Tonka Bean', 'Tonka Bean', 'Amberwood', 'Myrrh', 'Benzoin', 'Akigalawood']","['Vanilla', 'Tonka Bean', 'Tonka Bean', 'Amberwood', 'Myrrh', 'Benzoin', 'Akigalawood']"
3,Le Male Le Parfum,Jean Paul Gaultier,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Male-Le-Parfum-61856.html,2020,Dominique Ropion,4.59,"10,471","{'warm spicy': '100', 'vanilla': '78.5958', 'aromatic': '62.9361', 'powdery': '62.5152', 'lavender': '62.3574', 'iris': '59.8941', 'amber': '57.0123', 'woody': '56.1394', 'violet': '44.9471'}","['Cardamom', 'Lavender', 'Iris', 'Iris', 'Vanilla', 'Oriental notes', 'Oriental notes', 'Woodsy Notes']","['Lavender', 'Iris', 'Iris', 'Vanilla', 'Oriental notes', 'Oriental notes', 'Woodsy Notes']","['Vanilla', 'Oriental notes', 'Oriental notes', 'Woodsy Notes']"
4,Baccarat Rouge 540,Maison Francis Kurkdjian,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Baccarat-Rouge-540-33519.html,2015,Dominique Ropion,3.88,"18,452","{'woody': '100', 'amber': '92.1882', 'warm spicy': '69.1122', 'fresh spicy': '46.9279', 'aromatic': '46.4907', 'metallic': '46.2036', 'white floral': '45.1358', 'animalic': '44.9374'}","['Saffron', 'Jasmine', 'Jasmine', 'Amberwood', 'Ambergris', 'Ambergris', 'Fir Resin', 'Cedar', 'Cedar']","['Amberwood', 'Ambergris', 'Ambergris', 'Fir Resin', 'Cedar', 'Cedar']","['Fir Resin', 'Cedar', 'Cedar']"
5,Tobacco Vanille,Tom Ford,https://www.fragrantica.com/perfume/Tom-Ford/Tobacco-Vanille-1825.html,2007,Dominique Ropion,4.25,"20,658","{'vanilla': '100', 'sweet': '94.7149', 'tobacco': '85.3822', 'warm spicy': '69.9753', 'fruity': '61.0662', 'woody': '53.1842', 'cacao': '52.9012', 'powdery': '49.6037'}","['Tobacco Leaf', 'Spicy Notes', 'Spicy Notes', 'Vanilla', 'Cacao', 'Cacao', 'Tonka Bean', 'Tobacco Blossom', 'Dried Fruits', 'Woody Notes', 'Woody Notes']","['Vanilla', 'Cacao', 'Cacao', 'Tonka Bean', 'Tobacco Blossom', 'Dried Fruits', 'Woody Notes', 'Woody Notes']","['Dried Fruits', 'Woody Notes', 'Woody Notes']"
6,Dior Homme Intense 2011,Dior,https://www.fragrantica.com/perfume/Dior/Dior-Homme-Intense-2011-13016.html,2011,Dominique Ropion,4.50,"16,530","{'iris': '100', 'woody': '79.6743', 'powdery': '76.8211', 'earthy': '67.9163', 'violet': '65', 'aromatic': '64.2816', 'floral': '63.6435', 'musky': '61.3716', 'lavender': '61.1479', 'fruity': '45.5149'}","['Lavender', 'Iris', 'Ambrette (Musk Mallow)', 'Ambrette (Musk Mallow)', 'Pear', 'Virginia Cedar', 'Vetiver', 'Vetiver']","['Iris', 'Ambrette (Musk Mallow)', 'Ambrette (Musk Mallow)', 'Pear', 'Virginia Cedar', 'Vetiver', 'Vetiver']","['Virginia Cedar', 'Vetiver', 'Vetiver']"
7,By the Fireplace,Maison Martin Margiela,https://www.fragrantica.com/perfume/Maison-Martin-Margiela/By-the-Fireplace-31623.html,2015,Dominique Ropion,4.25,"13,464","{'woody': '100', 'vanilla': '78.0464', 'balsamic': '75.9101', 'warm spicy': '68.7215', 'amber': '62.8549', 'powdery': '58.2244', 'nutty': '52.6596', 'musky': '45.9226', 'soft spicy': '44.7563', 'aromatic': '44.294'}","['Cloves', 'Pink Pepper', 'Pink Pepper', 'Orange Blossom', 'Chestnut', 'Guaiac Wood', 'Guaiac Wood', 'Juniper', 'Vanilla', 'Peru Balsam', 'Peru Balsam', 'Cashmeran']","['Chestnut', 'Guaiac Wood', 'Guaiac Wood', 'Juniper', 'Vanilla', 'Peru Balsam', 'Peru Balsam', 'Cashmeran']","['Vanilla', 'Peru Balsam', 'Peru Balsam', 'Cashmeran']"
8,XJ 1861 Naxos,Xerjoff,https://www.fragrantica.com/perfume/Xerjoff/XJ-1861-Naxos-30529.html,1861,Dominique Ropion,4.51,"8,100","{'sweet': '100', 'vanilla': '86.9035', 'honey': '83.8876', 'tobacco': '73.0485', 'lavender': '70.3324', 'citrus': '67.0525', 'aromatic': '66.6028', 'floral': '56.0034', 'warm spicy': '54.7581', 'powdery': '54.029'}","['Lavender', 'Bergamot', 'Bergamot', 'Lemon', 'Honey', 'Cinnamon', 'Cinnamon', 'Cashmeran', 'Jasmine Sambac', 'Tobacco Leaf', 'Vanilla', 'Vanilla', 'Tonka Bean']","['Honey', 'Cinnamon', 'Cinnamon', 'Cashmeran', 'Jasmine Sambac', 'Tobacco Leaf', 'Vanilla', 'Vanilla', 'Tonka Bean']","['Tobacco Leaf', 'Vanilla', 'Vanilla', 'Tonka Bean']"
9,Y Eau de Parfum,Yves Saint Laurent,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Y-Eau-de-Parfum-50757.html,2018,Dominique Ropion,4.37,"12,275","{'aromatic': '100', 'woody': '79.3605', 'fresh spicy': '74.5163', 'warm spicy': '69.311', 'amber': '69.0424', 'fruity': '65.945', 'fresh': '60.4766', 'herbal': '58.5922', 'citrus': '58.2796', 'green': '53.8217'}","['Apple', 'Ginger', 'Ginger', 'Bergamot', 'Sage', 'Juniper Berries', 'Juniper Berries', 'Geranium', 'Amberwood', 'Tonka Bean', 'Tonka Bean', 'Cedar', 'Vetiver', 'Olibanum']","['Sage', 'Juniper Berries', 'Juniper Berries', 'Geranium', 'Amberwood', 'Tonka Bean', 'Tonka Bean', 'Cedar', 'Vetiver', 'Olibanum']","['Amberwood', 'Tonka Bean', 'Tonka Bean', 'Cedar', 'Vetiver', 'Olibanum']"
10,Le Male Elixir,Jean Paul Gaultier,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Male-Elixir-81642.html,2023,Dominique Ropion,4.58,"6,590","{'vanilla': '100', 'sweet': '79.5092', 'honey': '67.7354', 'amber': '61.5803', 'aromatic': '60.0532', 'lavender': '54.4384', 'tobacco': '49.478', 'green': '47.5042', 'fresh spicy': '46.0836', 'powdery': '45.3578'}","['Lavender', 'Mint', 'Mint', 'Vanilla', 'Benzoin', 'Benzoin', 'Honey', 'Tonka Bean', 'Tonka Bean', 'Tobacco']","['Vanilla', 'Benzoin', 'Benzoin', 'Honey', 'Tonka Bean', 'Tonka Bean', 'Tobacco']","['Honey', 'Tonka Bean', 'Tonka Bean', 'Tobacco']"
