Perfume Name,Perfume Brand,Link
Angels' Share,By Kilian,https://www.fragrantica.com/perfume/By-Kilian/Angels-Share-62615.html
Khamrah,Lattafa Perfumes,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Khamrah-75805.html
Le Male Le Parfum,Jean Paul Gaultier,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Male-Le-Parfum-61856.html
Baccarat Rouge 540,Maison Francis Kurkdjian,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Baccarat-Rouge-540-33519.html
Tobacco Vanille,Tom Ford,https://www.fragrantica.com/perfume/Tom-Ford/Tobacco-Vanille-1825.html
Dior Homme Intense 2011,Dior,https://www.fragrantica.com/perfume/Dior/Dior-Homme-Intense-2011-13016.html
By the Fireplace,Maison Martin Margiela,https://www.fragrantica.com/perfume/Maison-Martin-Margiela/By-the-Fireplace-31623.html
XJ 1861 Naxos,Xerjoff,https://www.fragrantica.com/perfume/Xerjoff/XJ-1861-Naxos-30529.html
Y Eau de Parfum,Yves Saint Laurent,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Y-Eau-de-Parfum-50757.html
Le Male Elixir,Jean Paul Gaultier,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Male-Elixir-81642.html
Spicebomb Extreme,Viktor&Rolf,https://www.fragrantica.com/perfume/Viktor-Rolf/Spicebomb-Extreme-30499.html
Layton,Parfums de Marly,https://www.fragrantica.com/perfume/Parfums-de-Marly/Layton-39314.html
Sauvage Elixir,Dior,https://www.fragrantica.com/perfume/Dior/Sauvage-Elixir-68415.html
Black Opium,Yves Saint Laurent,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Black-Opium-25324.html
Club de Nuit Intense Man,Armaf,https://www.fragrantica.com/perfume/Armaf/Club-de-Nuit-Intense-Man-34696.html
Bleu de Chanel Eau de Parfum,Chanel,https://www.fragrantica.com/perfume/Chanel/Bleu-de-Chanel-Eau-de-Parfum-25967.html
Eros,Versace,https://www.fragrantica.com/perfume/Versace/Eros-16657.html
Jazz Club,Maison Martin Margiela,https://www.fragrantica.com/perfume/Maison-Martin-Margiela/Jazz-Club-20541.html
Versace Pour Homme Dylan Blue,Versace,https://www.fragrantica.com/perfume/Versace/Versace-Pour-Homme-Dylan-Blue-40031.html
Aventus,Creed,https://www.fragrantica.com/perfume/Creed/Aventus-9828.html
Emporio Armani Stronger With You Intensely,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Emporio-Armani-Stronger-With-You-Intensely-52802.html
Sauvage,Dior,https://www.fragrantica.com/perfume/Dior/Sauvage-31861.html
Lost Cherry,Tom Ford,https://www.fragrantica.com/perfume/Tom-Ford/Lost-Cherry-51411.html
Le Beau Le Parfum,Jean Paul Gaultier,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Beau-Le-Parfum-72158.html
Acqua di Giò Profumo,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Profumo-29727.html
Ombré Leather (2018),Tom Ford,https://www.fragrantica.com/perfume/Tom-Ford/Ombre-Leather-2018-50239.html
Good Girl,Carolina Herrera,https://www.fragrantica.com/perfume/Carolina-Herrera/Good-Girl-39681.html
Ultra Male,Jean Paul Gaultier,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Ultra-Male-30947.html
Libre,Yves Saint Laurent,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Libre-56077.html
Cloud,Ariana Grande,https://www.fragrantica.com/perfume/Ariana-Grande/Cloud-50384.html
Black Orchid,Tom Ford,https://www.fragrantica.com/perfume/Tom-Ford/Black-Orchid-1018.html
Terre d'Hermès,Hermès,https://www.fragrantica.com/perfume/Hermes/Terre-d-Hermes-17.html
Gentleman Eau de Parfum Reserve Privée,Givenchy,https://www.fragrantica.com/perfume/Givenchy/Gentleman-Eau-de-Parfum-Reserve-Privee-71272.html
Explorer,Montblanc,https://www.fragrantica.com/perfume/Montblanc/Explorer-52002.html
The One for Men Eau de Parfum,Dolce&Gabbana,https://www.fragrantica.com/perfume/Dolce-Gabbana/The-One-for-Men-Eau-de-Parfum-31909.html
Eros Flame,Versace,https://www.fragrantica.com/perfume/Versace/Eros-Flame-52180.html
La Nuit de l'Homme,Yves Saint Laurent,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/La-Nuit-de-l-Homme-5521.html
Oud Wood,Tom Ford,https://www.fragrantica.com/perfume/Tom-Ford/Oud-Wood-1826.html
9pm,Afnan,https://www.fragrantica.com/perfume/Afnan/9pm-65414.html
Alien,Mugler,https://www.fragrantica.com/perfume/Mugler/Alien-707.html
Red Tobacco,Mancera,https://www.fragrantica.com/perfume/Mancera/Red-Tobacco-46663.html
Encre Noire,Lalique,https://www.fragrantica.com/perfume/Lalique/Encre-Noire-1834.html
Grand Soir,Maison Francis Kurkdjian,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Grand-Soir-40816.html
Cedrat Boise,Mancera,https://www.fragrantica.com/perfume/Mancera/Cedrat-Boise-15211.html
Hypnotic Poison,Dior,https://www.fragrantica.com/perfume/Dior/Hypnotic-Poison-219.html
Versace Pour Homme,Versace,https://www.fragrantica.com/perfume/Versace/Versace-Pour-Homme-2318.html
Prada L'Homme,Prada,https://www.fragrantica.com/perfume/Prada/Prada-L-Homme-39029.html
Nautica Voyage,Nautica,https://www.fragrantica.com/perfume/Nautica/Nautica-Voyage-913.html
La Vie Est Belle,Lancôme,https://www.fragrantica.com/perfume/Lancome/La-Vie-Est-Belle-14982.html
Acqua di Giò Profondo,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Profondo-59532.html
Burberry Her,Burberry,https://www.fragrantica.com/perfume/Burberry/Burberry-Her-51694.html
Light Blue,Dolce&Gabbana,https://www.fragrantica.com/perfume/Dolce-Gabbana/Light-Blue-485.html
Vanilla 28,Kayali Fragrances,https://www.fragrantica.com/perfume/Kayali-Fragrances/Vanilla-28-52616.html
Bal d'Afrique,Byredo,https://www.fragrantica.com/perfume/Byredo/Bal-d-Afrique-6458.html
Hawas for Him,Rasasi,https://www.fragrantica.com/perfume/Rasasi/Hawas-for-Him-46890.html
Delina,Parfums de Marly,https://www.fragrantica.com/perfume/Parfums-de-Marly/Delina-43871.html
Acqua di Gio,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-410.html
Asad,Lattafa Perfumes,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Asad-72821.html
Coco Mademoiselle,Chanel,https://www.fragrantica.com/perfume/Chanel/Coco-Mademoiselle-611.html
Ani,Nishane,https://www.fragrantica.com/perfume/Nishane/Ani-54785.html
Noir Extreme,Tom Ford,https://www.fragrantica.com/perfume/Tom-Ford/Noir-Extreme-29675.html
Hacivat,Nishane,https://www.fragrantica.com/perfume/Nishane/Hacivat-44174.html
Instant Crush,Mancera,https://www.fragrantica.com/perfume/Mancera/Instant-Crush-54885.html
Valentino Donna Born In Roma,Valentino,https://www.fragrantica.com/perfume/Valentino/Valentino-Donna-Born-In-Roma-55805.html
Erba Pura,Xerjoff,https://www.fragrantica.com/perfume/Xerjoff/Erba-Pura-55157.html
Lira,Xerjoff,https://www.fragrantica.com/perfume/Xerjoff/Lira-11801.html
Libre Intense,Yves Saint Laurent,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Libre-Intense-62318.html
The Most Wanted,Azzaro,https://www.fragrantica.com/perfume/Azzaro/The-Most-Wanted-66826.html
Eilish,Billie Eilish,https://www.fragrantica.com/perfume/Billie-Eilish/Eilish-70052.html
Herod,Parfums de Marly,https://www.fragrantica.com/perfume/Parfums-de-Marly/Herod-16939.html
Bois Impérial,Essential Parfums,https://www.fragrantica.com/perfume/Essential-Parfums/Bois-Imperial-64338.html
Light Blue Eau Intense Pour Homme,Dolce&Gabbana,https://www.fragrantica.com/perfume/Dolce-Gabbana/Light-Blue-Eau-Intense-Pour-Homme-44035.html
